,text,article_title,journal,bacteria,nutrients,diseases,parse_result
0,"It should be noted that the method used for DNA isolation can lead to an underestimation of the proportion of Actinobacteria and overestimation of the proportion of Bacteroidetes; however, the comparative metagenomic analysis at different stages of the experiment is substantiated, as an identical approach was applied to all samples.","Metagenomic Analysis of the Dynamic Changes in the Gut Microbiome of the Participants of the MARS-500 Experiment, Simulating Long Term Space Flight",acta naturae,"[('Actinobacteria', 1760), ('Bacteroidetes', 976)]","[('lead', 'Pb')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383bf23780>
1,"E. coli formate dehydrogenase ( fdhF) is strongly induced after transition from aerobic to anaerobic growth, and its promoter has been used to drive expression of the Yersinia pseudotuberculosis invasin adhesion protein.",Synthetic Microbes As Drug Delivery Systems,acs synthetic biology,"[('E. coli', 562), ('Yersinia', 629)]","[('protein', 'Protein')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383bf2d048>
2,"In a different report, E. coli expressing the invasin protein was shown to invade xenografted human colon cancer cells in an in vivo mouse experiment.",Synthetic Microbes As Drug Delivery Systems,acs synthetic biology,"[('E. coli', 562)]","[('protein', 'Protein')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383bf312b0>
3,"A second example of protection against pathogenic viruses involves the vaginal commensal Lactobacillus jensenii, which has been engineered to express the HIV-1 entry inhibitor protein cyanovirin-N. Macaques colonized with this strain were repeatedly challenged with simian HIV and showed a 63% reduction of acquisition and a 6-fold lower viral load was observed in macaques with breakthrough infection.",Synthetic Microbes As Drug Delivery Systems,acs synthetic biology,"[('Lactobacillus jensenii', 109790)]","[('protein', 'Protein')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383beb9518>
4,"More complex transporters such as the Salmonella type III secretion system could be rewired for efficient export, or to inject protein directly into eukaryotic cells.",Synthetic Microbes As Drug Delivery Systems,acs synthetic biology,"[('Salmonella', 590)]","[('protein', 'Protein')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383bebf0f0>
5,This antibacterial protein accumulates inside E. coli until a second toxic protein (E7 lysis protein) is expressed and causes the producer cell to lyse.,Synthetic Microbes As Drug Delivery Systems,acs synthetic biology,"[('E. coli', 562)]","[('protein', 'Protein'), ('protein', 'Protein'), ('protein', 'Protein')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383bec4358>
6,"One study has shown that Bacteroidetes was elevated in chronic alcohol-fed rats, whereas, another study has demonstrated that chronic alcohol feeding decreased the proportion of Bacteroidetes, .",Role of farnesoid X receptor and bile acids in alcoholic liver disease,acta pharmaceutica sinica. b,"[('Bacteroidetes', 976), ('Bacteroidetes', 976)]","[('alcohol', 'Ethyl alcohol')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383bec92b0>
7,"The recent structures of two MACPF proteins, a bacterial protein from Photorhabdus luminescens (Plu-MACPF) and the human complement membrane-attack complex component C8α, revealed an unexpected structural similarity to the well studied cholesterol-dependent cytolysins (CDCs) of many Gram-positive bacteria, thus suggesting a common mechanism of pore formation (Hadders et al., 2007; Rosado et al., 2007) by CDC and MACPF.","Structure of a membrane-attack complex/perforin (MACPF) family protein from the human gut symbiont Bacteroides thetaiotaomicron
            ",acta crystallographica section f: structural biology and crystallization communications,"[('Gram-positive bacteria', 1239)]","[('protein', 'Protein')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383bed8f98>
8,"Similarly, the structure of BVU_2987 (PDB code) from B. vulgatus uncovered an unexpected similarity in fold to the β-­lactamase inhibitor protein (BLIP; Das et al., 2010).","Structure of a membrane-attack complex/perforin (MACPF) family protein from the human gut symbiont Bacteroides thetaiotaomicron
            ",acta crystallographica section f: structural biology and crystallization communications,"[('B. vulgatus', 821)]","[('protein', 'Protein')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383bee0128>
9,"Here, we report the crystal structure of the MACPF protein BT_3439 from B. thetaiotaomicron (hereafter referred to as Bth-MACPF) at 2.46 Å resolution, which to our knowledge is the first structure of a potential CDC-like toxin from a gut symbiont.","Structure of a membrane-attack complex/perforin (MACPF) family protein from the human gut symbiont Bacteroides thetaiotaomicron
            ",acta crystallographica section f: structural biology and crystallization communications,"[('B. thetaiotaomicron', 818)]","[('protein', 'Protein')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383bee7400>
