id	name	group	subset	obsolete
DOID:0001816	angiosarcoma	DOID:1115	NCIthesaurus	false
DOID:0002116	pterygium	DOID:10124	NA	false
DOID:0014667	disease of metabolism	DOID:4	NCIthesaurus	false
DOID:0050001	Actinomadura madurae infectious disease	NA	gram-positive_bacterial_infectious_disease	true
DOID:0050002	Actinomadura pelletieri infectious disease	NA	gram-positive_bacterial_infectious_disease	true
DOID:0050003	Streptomyces somaliensis infectious disease	NA	gram-positive_bacterial_infectious_disease	true
DOID:0050004	seminal vesicle acute gonorrhea	DOID:10400	NA	false
DOID:0050007	cutaneous strongyloidiasis	NA	NA	true
DOID:0050009	intestinal strongyloidiasis	NA	NA	true
DOID:0050010	Mansonella perstans infectious disease	NA	NA	true
DOID:0050011	Mansonella streptocerca infectious disease	NA	zoonotic_infectious_disease	true
DOID:0050012	chikungunya	DOID:934	zoonotic_infectious_disease	false
DOID:0050013	carbohydrate metabolism disease	DOID:0060158	NA	false
DOID:0050014	epizootic hemorrhagic disease	NA	NA	true
DOID:0050015	Rocio virus encephalitis	NA	NA	true
DOID:0050024	Ehrlichia ewingii ehrlichiosis	NA	gram-negative_bacterial_infectious_disease	true
DOID:0050024	Ehrlichia ewingii ehrlichiosis	NA	tick-borne_infectious_disease	true
DOID:0050024	Ehrlichia ewingii ehrlichiosis	NA	zoonotic_infectious_disease	true
DOID:0050025	human granulocytic anaplasmosis	DOID:10242	gram-negative_bacterial_infectious_disease	false
DOID:0050025	human granulocytic anaplasmosis	DOID:10242	tick-borne_infectious_disease	false
DOID:0050026	human monocytic ehrlichiosis	DOID:10242	gram-negative_bacterial_infectious_disease	false
DOID:0050026	human monocytic ehrlichiosis	DOID:10242	tick-borne_infectious_disease	false
DOID:0050032	mineral metabolism disease	DOID:0060158	NA	false
DOID:0050035	African tick-bite fever	DOID:11104	gram-negative_bacterial_infectious_disease	false
DOID:0050035	African tick-bite fever	DOID:11104	tick-borne_infectious_disease	false
DOID:0050035	African tick-bite fever	DOID:11104	zoonotic_infectious_disease	false
DOID:0050041	Astrakhan spotted fever	DOID:11104	gram-negative_bacterial_infectious_disease	false
DOID:0050041	Astrakhan spotted fever	DOID:11104	tick-borne_infectious_disease	false
DOID:0050041	Astrakhan spotted fever	DOID:11104	zoonotic_infectious_disease	false
DOID:0050042	Indian tick typhus	DOID:11104	gram-negative_bacterial_infectious_disease	false
DOID:0050042	Indian tick typhus	DOID:11104	tick-borne_infectious_disease	false
DOID:0050042	Indian tick typhus	DOID:11104	zoonotic_infectious_disease	false
DOID:0050043	Israeli tick typhus	DOID:11104	gram-negative_bacterial_infectious_disease	false
DOID:0050043	Israeli tick typhus	DOID:11104	tick-borne_infectious_disease	false
DOID:0050043	Israeli tick typhus	DOID:11104	zoonotic_infectious_disease	false
DOID:0050046	Far Eastern spotted fever	DOID:11104	gram-negative_bacterial_infectious_disease	false
DOID:0050046	Far Eastern spotted fever	DOID:11104	tick-borne_infectious_disease	false
DOID:0050046	Far Eastern spotted fever	DOID:11104	zoonotic_infectious_disease	false
DOID:0050047	Flinders Island spotted fever	DOID:11104	gram-negative_bacterial_infectious_disease	false
DOID:0050047	Flinders Island spotted fever	DOID:11104	tick-borne_infectious_disease	false
DOID:0050050	Japanese spotted fever	DOID:11104	gram-negative_bacterial_infectious_disease	false
DOID:0050050	Japanese spotted fever	DOID:11104	tick-borne_infectious_disease	false
DOID:0050050	Japanese spotted fever	DOID:11104	zoonotic_infectious_disease	false
DOID:0050051	Rickettsia parkeri spotted fever	DOID:11104	gram-negative_bacterial_infectious_disease	false
DOID:0050051	Rickettsia parkeri spotted fever	DOID:11104	tick-borne_infectious_disease	false
DOID:0050051	Rickettsia parkeri spotted fever	DOID:11104	zoonotic_infectious_disease	false
DOID:0050052	Rocky Mountain spotted fever	DOID:11104	gram-negative_bacterial_infectious_disease	false
DOID:0050052	Rocky Mountain spotted fever	DOID:11104	tick-borne_infectious_disease	false
DOID:0050052	Rocky Mountain spotted fever	DOID:11104	zoonotic_infectious_disease	false
